Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,40913330934
AA,Alcoa,Aluminum,7069992517
AAC,Ares Acquisition,Shell Companies,745170006
AACG,ATA Creativity Global,Education & Training Services,58988572
AACI,Armada Acquisition I,Shell Companies,209165950
AADI,Aadi Bioscience,Biotechnology,183033130
AAIC,Arlington Asset Investment,REIT - Mortgage,75722268
AAL,American Airlines Group,Airlines,17388540416
AAMC,Altisource Asset Management,Asset Management,120264689
AAME,Atlantic American,Insurance - Life,49960742
AAN,The Aaron's Company,Rental & Leasing Services,333265335
AAOI,Applied Optoelectronics,Semiconductors,66821670
AAON,"AAON, Inc.",Building Products & Equipment,5160420286
AAP,Advance Auto Parts,Specialty Retail,7192282892
AAPL,Apple,Consumer Electronics,2533086154138
AAT,American Assets Trust,REIT - Diversified,1360350351
AAU,Almaden Minerals,Gold,25797546
AB,AllianceBernstein Holding L.P.,Asset Management,3891994200
ABB,ABB Ltd,Electrical Equipment & Parts,64121783898
ABBV,AbbVie,Drug Manufacturers - General,286425775596
ABC,AmerisourceBergen,Medical Distribution,33457518360
ABCB,Ameris Bancorp,Banks - Regional,2324397500
ABCL,AbCellera Biologics,Biotechnology,2097231057
ABCM,Abcam,Biotechnology,3102564300
ABEO,Abeona Therapeutics,Biotechnology,51533190
ABEV,Ambev,Beverages - Brewers,46752849285
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4421503345
ABIO,ARCA biopharma,Biotechnology,28820200
ABM,ABM Industries,Specialty Business Services,2888171140
ABNB,Airbnb,Travel Services,70974006405
ABOS,Acumen Pharmaceuticals,Biotechnology,157946635
ABR,Arbor Realty Trust,REIT - Mortgage,1909677865
ABSI,Absci,Biotechnology,163538966
ABST,Absolute Software,Software - Application,433006584
ABT,Abbott Laboratories,Medical Devices,178244147077
ABUS,Arbutus Biopharma,Biotechnology,456824532
ABVC,ABVC BioPharma,Biotechnology,20700099
AC,Associated Capital Group,Capital Markets,730281456
ACA,Arcosa,Infrastructure Operations,2951260317
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,396000011
ACAC,Acri Capital Acquisition,Shell Companies,112986976
ACAD,ACADIA Pharmaceuticals,Biotechnology,2975298200
ACAH,Atlantic Coastal Acquisition,Shell Companies,122913336
ACAQ,Athena Consumer Acquisition,Shell Companies,257442000
ACAX,Alset Capital Acquisition,Shell Companies,115926500
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,221982542
ACBA,Ace Global Business Acquisition,Shell Companies,65867520
ACCD,Accolade,Health Information Services,1037210532
ACCO,ACCO Brands,Business Equipment & Supplies,488824610
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,706206693
ACEL,Accel Entertainment,Gambling,789510228
ACER,Acer Therapeutics,Biotechnology,23187285
ACET,Adicet Bio,Biotechnology,226372850
ACGL,Arch Capital Group,Insurance - Diversified,26162079600
ACGN,Aceragen,Biotechnology,8008573
ACHC,Acadia Healthcare Company,Medical Care Facilities,6830466160
ACHL,Achilles Therapeutics,Biotechnology,37542151
ACHR,Archer Aviation,Aerospace & Defense,601089641
ACHV,Achieve Life Sciences,Biotechnology,122285328
ACI,Albertsons Companies,Grocery Stores,11757101445
ACIU,AC Immune,Biotechnology,183128676
ACIW,ACI Worldwide,Software - Infrastructure,2771991680
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,4082719680
ACLX,Arcellx,Biotechnology,1351969704
ACM,AECOM,Engineering & Construction,11423079500
ACMR,ACM Research,Semiconductor Equipment & Materials,630464725
ACN,Accenture,Information Technology Services,179203529400
ACNB,ACNB Corporation,Banks - Regional,257492693
ACNT,Ascent Industries Co.,Steel,95517897
ACON,Aclarion,Health Information Services,6091106
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,12928186
ACR,ACRES Commercial Realty,REIT - Mortgage,84075156
ACRE,Ares Commercial Real Estate,REIT - Mortgage,473440956
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,436856250
ACRS,Aclaris Therapeutics,Diagnostics & Research,590899980
ACRV,Acrivon Therapeutics,Biotechnology,205396022
ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,7839482
ACST,Acasti Pharma,Biotechnology,20566501
ACT,Enact Holdings,Insurance - Specialty,3962212800
ACTG,Acacia Research,Specialty Business Services,216705670
ACU,Acme United,Household & Personal Products,97335332
ACVA,ACV Auctions,Auto & Truck Dealerships,1921467936
ACXP,Acurx Pharmaceuticals,Biotechnology,35489190
ADAG,Adagene,Biotechnology,59256062
ADAL,Anthemis Digital Acquisitions I,Shell Companies,315459385
ADAP,Adaptimmune Therapeutics,Biotechnology,197084220
ADBE,Adobe,Software - Infrastructure,169668543000
ADC,Agree Realty,REIT - Retail,5957756538
ADCT,ADC Therapeutics,Biotechnology,162897842
ADD,Color Star Technology Co.,Entertainment,18948006
ADEA,Adeia,Software - Application,832369300
ADER,26 Capital Acquisition,Shell Companies,359562490
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,53111916
ADEX,Adit EdTech Acquisition,Shell Companies,97046471
ADI,Analog Devices,Semiconductors,94741206872
ADIL,Adial Pharmaceuticals,Biotechnology,7950428
ADM,Archer-Daniels-Midland Company,Farm Products,44322153301
ADMA,ADMA Biologics,Biotechnology,693126720
ADMP,Adamis Pharmaceuticals,Drug Manufacturers - Specialty & Generic,15516216
ADN,Advent Technologies Holdings,Utilities - Renewable,50507506
ADNT,Adient,Auto Parts,3694265078
ADOC,Edoc Acquisition,Shell Companies,39400753
ADP,Automatic Data Processing,Staffing & Employment Services,89338434720
ADPT,Adaptive Biotechnologies,Biotechnology,1168016250
ADRT,Ault Disruptive Technologies,Shell Companies,150650000
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,119579355
ADSK,Autodesk,Software - Application,41487485825
ADT,ADT Inc.,Security & Protection Services,6235905830
ADTH,AdTheorent Holding Company,Advertising Agencies,138445288
ADTN,ADTRAN Holdings,Communication Equipment,833522520
ADTX,Aditxt,Biotechnology,3694242
ADUS,Addus HomeCare,Medical Care Facilities,1809861716
ADV,Advantage Solutions,Advertising Agencies,444561458
ADVM,Adverum Biotechnologies,Biotechnology,74796750
ADXN,Addex Therapeutics,Biotechnology,13448639
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,104479097
AEAE,AltEnergy Acquisition,Shell Companies,298137500
AEE,Ameren,Utilities - Regulated Electric,23614876470
AEG,Aegon,Insurance - Diversified,8951086129
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,15182944
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,784758238
AEI,Alset EHome International,Real Estate - Development,12535664
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3448240407
AEL,American Equity Investment Life Holding Company,Insurance - Life,3105506052
AEM,Agnico Eagle Mines,Gold,26435817258
AEMD,Aethlon Medical,Medical Devices,8797242
AENZ,Aenza,Engineering & Construction,208923233
AEO,American Eagle Outfitters,Apparel Retail,2622405960
AEP,American Electric Power Company,Utilities - Regulated Electric,48488004574
AER,AerCap Holdings,Rental & Leasing Services,13223208000
AES,The AES Corporation,Utilities - Diversified,16933174003
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,1781000000
AEVA,Aeva Technologies,Auto Parts,202209450
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,15969160
AEYE,AudioEye,Software - Application,80170576
AEZS,Aeterna Zentaris,Biotechnology,13013758
AFAR,Aura FAT Projects Acquisition,Shell Companies,148502282
AFBI,Affinity Bancshares,Banks - Regional,97535314
AFCG,AFC Gamma,REIT - Specialty,232757312
AFG,American Financial Group,Insurance - Property & Casualty,10417142700
AFIB,Acutus Medical,Medical Devices,19070106
AFL,Aflac,Insurance - Life,40360495951
AFMD,Affimed,Biotechnology,100385681
AFRI,Forafric Global,Farm Products,302073146
AFRM,Affirm Holdings,Software - Infrastructure,3216305234
AFTR,AfterNext HealthTech Acquisition,Shell Companies,320000000
AFYA,Afya Limited,Education & Training Services,1160180773
AG,First Majestic Silver,Silver,2099772000
AGAC,African Gold Acquisition,Shell Companies,532507479
AGAE,Allied Gaming & Entertainment,Entertainment,44784166
AGBA,AGBA Acquisition,Shell Companies,90390224
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,9339308836
AGE,AgeX Therapeutics,Biotechnology,25804096
AGEN,Agenus,Biotechnology,435592020
AGFY,Agrify,Engineering & Construction,5366786
AGI,Alamos Gold,Gold,5309767992
AGIL,AgileThought,Software - Application,129584952
AGIO,Agios Pharmaceuticals,Biotechnology,1181997576
AGL,agilon health,Medical Care Facilities,11455790092
AGLE,Aeglea BioTherapeutics,Biotechnology,12425088
AGM,Federal Agricultural Mortgage,Credit Services,1382222367
AGM.A,Federal Agricultural Mortgage,Credit Services,1429476628
AGMH,AGM Group Holdings,Software - Application,49722340
AGNC,AGNC Investment,REIT - Mortgage,5756530940
AGO,Assured Guaranty,Insurance - Specialty,3221142393
AGR,Avangrid,Utilities - Regulated Electric,15624000847
AGRI,AgriFORCE Growing Systems,Farm Products,13254026
AGRO,Adecoagro,Farm Products,978474060
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,404416958
AGS,PlayAGS,Gambling,251338745
AGTI,Agiliti,Health Information Services,2192982000
AGX,Argan,Engineering & Construction,529611463
AGYS,Agilysys,Software - Application,2064836426
AHCO,AdaptHealth,Medical Devices,1636248177
AHG,Akso Health Group,Credit Services,6909598
AHH,Armada Hoffler Properties,REIT - Diversified,1047534536
AHI,Advanced Human Imaging,Software - Application,11181067
AHRN,Ahren Acquisition,Shell Companies,391497881
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,106386507
AI,C3.ai,Information Technology Services,2473108356
AIB,AIB Acquisition,Shell Companies,38135850
AIG,American International Group,Insurance - Diversified,37651840118
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,53103428
AIHS,Senmiao Technology,Credit Services,6769106
AIM,AIM ImmunoTech,Biotechnology,21187875
AIMAU,Aimfinity Investment I,Shell Companies,107973590
AIMD,Ainos,Biotechnology,18210556
AIN,Albany International,Textile Manufacturing,2804139975
AINC,Ashford,Asset Management,40257184
AIP,Arteris,Semiconductors,141605475
AIR,AAR Corp.,Aerospace & Defense,1888744056
AIRC,Apartment Income REIT,REIT - Residential,5284210604
AIRG,Airgain,Communication Equipment,60049080
AIRI,Air Industries Group,Aerospace & Defense,11530187
AIRS,AirSculpt Technologies,Medical Care Facilities,288130927
AIRT,Air T,Integrated Freight & Logistics,64902934
AIT,Applied Industrial Technologies,Industrial Distribution,5199765587
AIU,Meta Data,Education & Training Services,40605101
AIV,Apartment Investment and Management Company,REIT - Residential,1148425439
AIXI,Xiao-I,Software - Application,413823559
AIZ,Assurant,Insurance - Specialty,6200741853
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,42444651836
